Site,Latitude,Longitude,target,seasonal_naive,harmonic_regression,last_slope_hold
Transition,67.355,-150.824,soil_temperature_0_to_7cm,2.5750862433514077,2.74345879077985,14.146456250629488
Transition,67.355,-150.824,soil_moisture_0_to_7cm,0.037056407617428296,0.03739919521191475,0.1417113461356459
Transition,67.355,-150.734,soil_temperature_0_to_7cm,2.994759551817431,2.860098297263686,15.05626522183717
Transition,67.355,-150.734,soil_moisture_0_to_7cm,0.03911234581766071,0.03595453410757443,0.07031119568902483
Transition,67.355,-150.644,soil_temperature_0_to_7cm,4.723109354404663,4.451481308278543,14.982841673491288
Transition,67.355,-150.644,soil_moisture_0_to_7cm,0.057263993543757365,0.0461125034092582,0.20989182349541427
Transition,67.44500000000001,-151.274,soil_temperature_0_to_7cm,3.8918586176911396,4.0263962030536655,19.50098202957645
Transition,67.44500000000001,-151.274,soil_moisture_0_to_7cm,0.054197729308676154,0.04284371872519827,0.13786903995562447
Transition,67.44500000000001,-151.184,soil_temperature_0_to_7cm,3.8918586308297667,4.026396212364925,19.500981795169388
Transition,67.44500000000001,-151.184,soil_moisture_0_to_7cm,0.054197729308676154,0.04284371872519827,0.13786903995562447
Transition,67.44500000000001,-151.094,soil_temperature_0_to_7cm,3.3860464697145,3.447851443460867,12.89103458860997
Transition,67.44500000000001,-151.094,soil_moisture_0_to_7cm,0.044789861356948776,0.04149933509331408,0.12218445536990925
Transition,67.44500000000001,-151.004,soil_temperature_0_to_7cm,3.38604643349454,3.4478514306468786,12.891035416375644
Transition,67.44500000000001,-151.004,soil_moisture_0_to_7cm,0.044789861356948776,0.04149933509331408,0.12218445536990925
Transition,67.44500000000001,-150.91400000000002,soil_temperature_0_to_7cm,3.9787268107593623,4.069016098606238,18.994664307795492
Transition,67.44500000000001,-150.91400000000002,soil_moisture_0_to_7cm,0.051382021398897415,0.04712255406763451,0.06447717957658729
Transition,67.44500000000001,-150.824,soil_temperature_0_to_7cm,5.572877165498247,5.233454734366401,19.115657275090587
Transition,67.44500000000001,-150.824,soil_moisture_0_to_7cm,0.045322986373132965,0.04117973209119274,0.13378226842188903
Transition,67.44500000000001,-150.734,soil_temperature_0_to_7cm,4.723109393811,4.451481336509834,14.982841186592479
Transition,67.44500000000001,-150.734,soil_moisture_0_to_7cm,0.057263993543757365,0.0461125034092582,0.20989182349541427
Transition,67.44500000000001,-150.644,soil_temperature_0_to_7cm,4.723109402486752,4.451481343633906,14.982841063744733
Transition,67.44500000000001,-150.644,soil_moisture_0_to_7cm,0.057263993543757365,0.0461125034092582,0.20989182349541427
Transition,67.53500000000001,-151.274,soil_temperature_0_to_7cm,3.2497295140115927,3.740458153480285,17.9821456781174
Transition,67.53500000000001,-151.274,soil_moisture_0_to_7cm,0.05222248699398543,0.04203552253220683,0.13219113985469363
Transition,67.53500000000001,-151.184,soil_temperature_0_to_7cm,3.8918586573446947,4.026396239353988,19.50098151566092
Transition,67.53500000000001,-151.184,soil_moisture_0_to_7cm,0.054197729308676154,0.04284371872519827,0.13786903995562447
Transition,67.53500000000001,-151.094,soil_temperature_0_to_7cm,3.1551112884251564,4.00901720354118,26.832156040318363
Transition,67.53500000000001,-151.094,soil_moisture_0_to_7cm,0.042454942693081074,0.034842433651291485,0.13966373001364585
Transition,67.53500000000001,-151.004,soil_temperature_0_to_7cm,4.106434021425684,4.194994359440187,15.38229745636596
Transition,67.53500000000001,-151.004,soil_moisture_0_to_7cm,0.052083462265274015,0.047322297642630295,0.13860700492250438
Transition,67.53500000000001,-150.91400000000002,soil_temperature_0_to_7cm,3.978726879174037,4.06901613630688,18.994663030607505
Transition,67.53500000000001,-150.91400000000002,soil_moisture_0_to_7cm,0.051382021398897415,0.04712255406763451,0.06447717957658729
Transition,67.53500000000001,-150.824,soil_temperature_0_to_7cm,5.5728771655404765,5.233454730669584,19.115656871996073
Transition,67.53500000000001,-150.824,soil_moisture_0_to_7cm,0.045322986373132965,0.04117973209119274,0.13378226842188903
Transition,67.53500000000001,-150.734,soil_temperature_0_to_7cm,3.498405623843341,3.806543245098676,24.70217086497534
