arch,tier,target,n_subsets,strategy,subset_val_r2s,combined_val_r2,fine_tune_r2,std_R2,space_R2,time_R2,both_R2,train_time_s,eval_time_s,total_time_s,combine_time_s
GCN_NoTemporal,STANDALONE,moist,8,momentum,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.6785, 0.4066]",-74.1144,0.6743,0.6798,0.6743,0.6798,0.6743,157.9,26.5,213.6,29.3
GCN_NoTemporal,STANDALONE,moist,8,belief,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.6785, 0.4066]",-74.1144,0.6893,0.6999,0.6893,0.6999,0.6893,157.9,27.1,214.3,29.2
STGCN,GRAPH,temp,2,fedavg,"[-99.0, 0.964]",-49.018,0.9618,0.9318,0.9618,0.9318,0.9618,351.1,27.9,480.9,101.8
STGCN,GRAPH,temp,2,weighted,"[-99.0, 0.964]",-49.018,0.9627,0.9322,0.9627,0.9322,0.9627,351.1,28.0,481.5,102.3
STGCN,GRAPH,temp,2,momentum,"[-99.0, 0.964]",-49.018,0.9633,0.9317,0.9633,0.9317,0.9633,351.1,27.6,483.4,104.7
STGCN,GRAPH,temp,2,belief,"[-99.0, 0.964]",-49.018,0.9608,0.9315,0.9608,0.9315,0.9608,351.1,27.6,483.6,104.9
STGCN,GRAPH,temp,4,fedavg,"[-99.0, -99.0, -99.0, 0.9636]",-74.0091,0.96,0.9306,0.96,0.9306,0.96,521.2,27.9,652.2,103.1
STGCN,GRAPH,temp,4,weighted,"[-99.0, -99.0, -99.0, 0.9636]",-74.0091,0.9585,0.9253,0.9585,0.9253,0.9585,521.2,29.0,654.7,104.4
STGCN,GRAPH,temp,4,momentum,"[-99.0, -99.0, -99.0, 0.9636]",-74.0091,0.9623,0.9366,0.9623,0.9366,0.9623,521.2,29.1,650.3,100.0
STGCN,GRAPH,temp,4,belief,"[-99.0, -99.0, -99.0, 0.9636]",-74.0091,0.9595,0.9307,0.9595,0.9307,0.9595,521.2,27.8,648.7,99.6
